text,page_number,title,creation_date,source
# General,1,General,2025-12-22,World Travel Book
# General,2,General,2025-12-22,World Travel Book
# General,3,General,2025-12-22,World Travel Book
# General,4,General,2025-12-22,World Travel Book
# France,5,France,2025-12-22,World Travel Book
# General,6,General,2025-12-22,World Travel Book
"# United States

Chicago, Illinois
New Orleans, Louisiana
Provincetown, Massachusetts
Detroit, Michigan
Livingston, Montana
New Jersey
New York City
Portland, Oregon
Philadelphia, Pennsylvania
Pittsburgh, Pennsylvania
Charleston, South Carolina
Austin, Texas
Seattle, Washington
West Virginia
Uruguay
Montevideo
Garzón
Vietnam
Central Vietnam: Hoi An and Hue
Hanoi
Saigon/Ho Chi Minh City

Acknowledgments
Appendix: Film References
Cited Quotes
About the Authors
Also by Anthony Bourdain
Copyright
About the Publisher",7,United States,2025-12-22,World Travel Book
# General,8,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,9,General,2025-12-22,World Travel Book
# General,10,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,11,General,2025-12-22,World Travel Book
# General,12,General,2025-12-22,World Travel Book
# General,13,General,2025-12-22,World Travel Book
"# France

We had initially planned for Tony to write a number of essays about specific topics that moved him—his abiding love of France; the countries in which he was no longer welcome, by decree of one irritated government or another; the eccentricities of various European palates; a specific onsen outside Kyoto that was so hushed, luxurious, and polished that it remained his favorite, even after many return trips to Japan. He was gone before having the chance to write those essays, so I have recruited a number of Tony’s friends, family members, and colleagues to contribute their own collected thoughts and memories about places they experienced with Tony. You’ll find recollections of visits to France, Uruguay, and the New Jersey shore from Tony’s brother, Christopher Bourdain; a story from Tony’s producer and director Nari Kye of coming to terms with her Korean roots while shooting in Seoul; the producer and musician Steve Albini on the places he wishes he could share a meal with Tony in Chicago, and more. You’ll notice that, while this book does include basic information on topics like transportation and hotels, this is far from a comprehensive guide to any one location. Prices, exchange rates, travel routes, geopolitical stability, and the business of making and selling food and beverages are all flexible, changing things; for the most up-to-date and detailed information about how to take a train between Ho Chi Minh City and Hanoi, say, or exactly which buses will get you from Midtown Manhattan to the Bronx, you will want to supplement this volume with a fat, full-color guidebook dedicated to one city or country, or, you know, the internet. Please note, too, that in certain cases, some of Tony’s quotes have been slightly edited or condensed for clarity; these quotes have been pulled from a variety of sources, chief among them the written transcripts of his television shows No Reservations, The Layover, and Parts Unknown, along with the various essays Tony wrote in support of certain episodes, and, on occasion, remarks he made to various publications about a specific person or place. I have tried, as much as possible, to stick to the plan for this book as Tony laid it out. In some cases, a beloved restaurant or bar has permanently closed, or had a change of ownership and with it a change in product, ambience, or attitude. And in some cases, a business has succumbed to the “Bourdain effect,” which is to say, once a low-key restaurant or bar or sausage kiosk was featured on the show, its number of customers often skyrocketed, with Bourdain-inspired pilgrims showing up in droves to try the thing that Tony had on camera. In theory, this was a good thing, a coveted thing for businesses, but it could also utterly disrupt a beloved local institution, turning it into a sideshow or, depending on how the business handled it, a shitshow. Tony and his crew were aware of this possibility, and sensitive to it, though of course it was ultimately a decision each business owner made. There are risks, and there are rewards, of being exposed to the entire world’s hunger to eat, travel, and live like Tony.",14,France,2025-12-22,World Travel Book
"# Kenya

“Who gets to tell the stories?” asked Tony on the Kenya episode of Parts
Unknown, which he made with his CNN colleague W. Kamau Bell. It was the last
episode for which he recorded narration, and the winner, in 2019, of an Emmy Award
for television writing.
“This is a question asked often. The answer, in this case, for better or for
worse, is, ‘I do.’ At least this time out. I do my best. I look. I listen. But in the end, I
know: it’s my story, not Kamau’s, not Kenya’s, or Kenyans’. Those stories are yet
to be heard.”",15,Kenya,2025-12-22,World Travel Book
NO_CONTENT_HERE,16,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,17,General,2025-12-22,World Travel Book
"# Argentina

Buenos Aires

“Buenos Aires: capital of Argentina, second-largest country in South America. It’s
got a quirky, unique character all its own. It looks like no other place, and it feels
unlike any other.” Tony visited Argentina for No Reservations in 2007, and he
returned nine years later with Parts Unknown for a more focused look at the city, in a
hot and semideserted summertime.
“It’s got sort of a mournful, sad, sweet quality that I like. Fits with the
architecture.  January and February are the      hottest months here, middle  of
summer, and most Porteños who can afford it get out of town, to cooler climes.
“Argentina has the distinction of being home to more head-shrinkers per capita
than anywhere else in the world. Now, it’s a proud country. I mean, one of the
stereotypes is that Argentines are too proud, that they’re full of themselves. Vain.
If this is so, why is psychotherapy so huge in this country? I mean, this is the
kingdom of doubt. It’s an extraordinary thing, because in many cultures, to confess
that you need to even confide in someone is seen as a sign of weakness. Here,
everybody does it, and in no way frowns upon it.”
Tony submitted to an on-camera therapy session with a psychologist, footage of
which was woven throughout the episode; in it, he disclosed a recurring nightmare of
being trapped in a luxury hotel, and the depressive spiral that a bad airport hamburger
could bring on.
“I feel like Quasimodo, the Hunchback of Notre Dame—if he stayed in nice
hotel suites with high-thread-count sheets. I feel kind of like a freak, and . . . very
isolated.”

ARRIVAL IN BUENOS AIRES, AND GETTING AROUND",18,Argentina,2025-12-22,World Travel Book
"# Argentina

Buenos Aires has two airports, the larger of which is Ministro Pistarini International, also known as Ezeiza International (EZE), which is fourteen miles from the center of Buenos Aires. It handles 85 percent of the country’s international traffic, and it’s a hub for Aerolineas Argentinas. EZE services flights from all over South America, select North American cities, and a handful of European and Middle Eastern cities. Taxis queue outside the arrivals hall; the trip from EZE to the center of the city takes about thirty-five minutes and will cost about 1,750 Argentine pesos, or about US$30. Taxi drivers do not expect a standard percentage of the fare as a tip, but rounding up or asking the driver to keep the change is always appreciated, especially if he or she has handled your luggage. There are also bus lines from EZE, and car rentals are available. Buenos Aires’s smaller airport, handling exclusively domestic traffic (with the exception of a single Montevideo, Uruguay, flight), is Jorge Newbury Airfield. It’s just a mile and a half from Buenos Aires’s downtown area, with bus lines, metered taxis, and rental cars available. Travelers already in Uruguay may choose to cross the River Plate (actually an estuary) on a ferry from Montevideo to Buenos Aires, a journey of just over two to just over four hours, and costing between 2,900 and 8,700 pesos, or US$50–$150 each way, depending on time of day and whether your journey is by boat only or includes a bus transfer. Bear in mind that as this is an international crossing, you will pass through security, passport control, and customs, just as if you were flying. The two major carriers are Buquebus and Colonia Express.",19,Argentina,2025-12-22,World Travel Book
"# Argentina

In town, Buenos Aires is well served by bus routes, along with a seven-line underground metro system known as Subte, which links the downtown to the outer reaches of the city. Both bus and metro fares are paid via a rechargeable SUBE card, available in metro stations, at official Tourist Assistance Centers, and at various kioskos, or corner tobacco and candy shops, throughout the city. For detailed city transit information, visit www.argentina.gob.ar/sube.

IN THE MOOD FOR MEAT

Tony enjoyed Bodegón Don Carlos, “an unassuming, family-run joint across from [La Bombonera] soccer stadium,” owned and run since 1970 by Juan Carlos Zinola, who goes by Carlitos, his wife, Marta Venturini, and their daughter, Gaby Zinola. It’s in the La Boca neighborhood, which, despite its reputation as a slightly seedy area, is a lively tourist destination by day, for soccer fans, the contemporary art crowd drawn to Fundación Proa, and the masses seeking cheap amusement at the artists’ haven turned schlocky permanent street fair, Caminito. Historically, there hasn’t been a menu at Bodegón Don Carlos; diners are greeted and asked how hungry they are, and what they like to eat, and then dishes are delivered.",20,Argentina,2025-12-22,World Travel Book
"# Argentina

accordingly—meatballs, Spanish tortilla patata, tomato salads, empanadas, blood
sausage, steaks, pastas, and more. Word on the street suggests that the number of foreign
visitors has grown since Tony’s visit, and that menus, with prices, are available on
request, though still it’s worth it to surrender and put oneself in Carlitos’s capable
hands.

BODEGÓN DON CARLOS: Brandsen 699 La Boca, Buenos Aires C1161AAM,
Tel +54 11 4362 2433 (full meal with beverage about 3,500 pesos/US$60 per
person)

“On the outskirts of town, in the roaring summer heat, the fires still burn hot. A
tempting miasma of meat fills the midafternoon air.”
Tony met his on-camera therapist, Marina, at Los Talas del Entrerriano   for a
traditional parrilla lunch: plate after plate of ribs, steaks, sausages, and, at Marina’s
insistence,    achuras, or, as Tony might have called them, “the nasty bits”: intestines,
kidneys, blood sausage, and more. “On the parrilla,” Tony observed, “many parts of
once living things sizzle and char for the pleasure of those Porteños who remain in
town. Meat is king in fire, and we shall go hard in honoring the flame.”
Los Talas is a cavernous, casual place, with tables that seat up to ten people;
smaller groups are seated together to fill a table. The portions are enormous, the sides
and drinks are afterthoughts, the flames are hot, and the mood is lively.

LOS TALAS DEL ENTRERRIANO: Avenida Brigadier Juan Manuel de Rosas
1391, Jose Leon Suarez, Buenos Aires, Tel +54 11 4729 8527 (about 1,750
pesos/US$30 per person)",21,Argentina,2025-12-22,World Travel Book
NO_CONTENT_HERE,22,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,23,General,2025-12-22,World Travel Book
"# Australia

Australia

Melbourne

“Australia: a new world at the other end of the world, a rapidly deepening and
expanding culture of food and chefs, extraordinary wines, a few important melting
pots with a whole lotta space in between. The Crocodile Dundee image—the whole
‘shrimp on the barbie,’ beer-swilling ‘matey’ nonsense was an unfortunate misstep.
“I’ve been here many times, and the Australia I love is a very different one
than the folksy, outdoorsy wild kingdom, with the Foster’s silliness of films and
commercials.”
Considering the distance from his New York City home, Tony spent a fair amount of
time in Australia, between television shoots, book promotion (the Aussies are
voracious consumers of his writing) and speaking gigs, most recently at the twentieth
anniversary of the legendary Melbourne Food &#x26; Wine Festival. He was frank in his
love of the city:
“Melbourne has been described, superbly, as ‘like San Francisco without the
fog,’ a fantastically mixed culture of Chinese, Vietnamese, Greek, Lebanese. I’ve
always felt particularly connected to the Melbourne chef mafia, a lovable bunch of
home teamers and visiting Brits who, for some time, have been making magic out
on the edge. Sydney’s fine dining is great, but it’s Melbourne I keep coming back
to. Maybe it’s friends, maybe it’s the ingredients; I expect it’s the uniquely
Melbournian attitude. Everybody has to have a favorite place, and in Australia,
Melbourne is mine.”

ARRIVAL AND GETTING AROUND

Melbourne Airport (MEL),   locally known as Tullamarine, is Australia’s second-
busiest airport after Sydney’s. Served by all the big carriers of the Pacific Rim—",24,Australia,2025-12-22,World Travel Book
"# Australia

Qantas, Singapore, Cathay Pacific, Air China, Virgin Australia, and more—it’s about fourteen miles from the city’s central business district. A taxi, hailed from a rank outside the arrivals hall, from the airport to downtown Melbourne will take about thirty minutes, depending on traffic, and will run about $60 Australian/US$40; tips are appreciated but not expected. There’s also a SkyBus shuttle that runs frequently between the airport and the city, which is A$19/US$13 one way or A$36/US$25 round trip (www.skybus.com.au). Once in the city, you can avail yourself of Melbourne’s extensive public transportation system, composed of trains, buses, and trams, all under the umbrella of Public Transport Victoria (www.ptv.vic.gov.au). The city also has a bike-share program, and taxis can be hailed on the street or engaged from dozens of ranks around the city.

MARKETING AND CHOWING DOWN IN MELBOURNE

“Queen Vic Market is a sprawling, busy indoor area where it seems everyone comes for their vegetables, fish, dairy, and meat, avocados, monkfish, excellent slabs of meat—for not too much money.” Established in 1878, the Queen Victoria Market does attract tourists and serve local chefs, but in fact it’s also the place where supermarket-eschewing locals shop and eat. Over six hundred vendors operate in a space that covers two city blocks. “A bratwurst, incongruously enough, is the typical lunch for your market-going Melbournian. This is probably Melbourne’s most famous street food. You come to Melbourne, you go to the Vic Market, you have a bratwurst. This is something that everyone, everyone does,” Tony observed, while visiting with chef Paul Wilson in 2009, for No Reservations. The pair sought out his beloved “meat in tube form” at Bratwurst Shop, a “sensible fucking breakfast,” which he found to be “chunky, spicy . . . beautiful, man.”

QUEEN VICTORIA MARKET: Corner of Elizabeth and Victoria Streets, Melbourne 3000, Tel +03 9320 5822, www.qvm.com.au

BRATWURST SHOP &#x26; CO.: Queen Victoria Market, Shop 99–100, Dairy Produce Hall, Melbourne 3000, Tel +03 9328 2076, www.bratwurstshop.com (basic bratwurst about A$8/US$5.50) Tony was wild about the pleasure and pain brought on by good Sichuan cooking, and Dainty Sichuan, helmed by the husband-and-wife team of Ye Shao and Ting Lee, left its mark.",25,Australia,2025-12-22,World Travel Book
"# Australia

“Sichuan is one of my favorite regional Chinese styles, and it’s surprisingly hard to find the real thing, even in Manhattan, where most cooks in Sichuan restaurants are, in fact, from Hong Kong or Fuzhou. Best known for its intense heat, Sichuan [cuisine] is actually a wonderfully sadomasochistic interplay between pleasure and pain, between the scorching, searing bite of the dried red Sichuan pepper and the cooling, more floral relief, the tingling, numbing component of the tiny black Sichuan flower pepper.” Upon arrival at Dainty Sichuan, he noted, “You could smell it right away, walking in the door: The peppers of Sichuan cooking. There’s a reason the legends persist, of Sichuanese cooks spiking their dishes with opium. Nothing else explains the powerful addiction one develops to something that just hurts so bad.” You can get your fix with servings of “mouth-watering” chicken, pork heart and tongue, fatty pork belly and cumin-flavored pork. “What do you do to top that, now that my palate’s been blown out by the flavor equivalent of a weekend at Caligula’s house? It—it’s surreal. This is really surreal. It’s wacky, in a good way. You actually forget you’re in the bustling urban center of Melbourne. You’re somewhere else, riding wave after wave of flavor into another dimension.”

DAINTY SICHUAN: 176 Toorak Road, South Yarra, Melbourne 3141, Tel +61 3 9078 1686, www.daintysichuanfood.com (typical meal about A$60/US$40 per person) Tony abdicated all dinner-related decision making to his gang of Melbourne chef friends, which is how he frequently found himself eating congee, suckling pig, hot pot, and steamed whole fish to sop up the booze at Supper Inn, a modest Chinatown Cantonese joint that’s been consistently serving a late-night crowd (it stays open till 2:30 a.m.) for over four decades. Ascend a timber-paneled staircase to a fluorescent-lit dining room that, in the later hours, will invariably be crammed with employees of Melbourne’s hardworking service industry. As Tony recalled clearly, in planning this chapter, “That place is good.”

SUPPER INN: 15 Celestial Avenue, Melbourne 3000, Tel +61 3 9663 4759 (about A$30/US$20 per person)

Sydney

“Sydney, Australia: famous for its temperate, sunny climate; warm and inviting beaches; turquoise blue water.”",26,Australia,2025-12-22,World Travel Book
"# Australia

But for the extremely long flight to get there from New York, Tony’s visits to Sydney were what he would call “low impact”: agreeable weather, first-world accommodations, lots of great food and wine, and no language barrier. Australia was a place where he could relax and take it all in. In 2012, during the final season of No Reservations, he noted, “For the first time, actually, I’m starting to experience real estate lust. “Nobody bitches about Sydney. . . . Daytime drinking is really underrated. This is one of the great things about this country. You drink in the street. A good time to be eating in Australia, and it’s only getting better. People do well in this town.”

ARRIVAL AND GETTING AROUND

Sydney Kingsford Smith International Airport (SYD) is Australia’s largest and busiest airport, located about five miles from the city center. It is the main hub for Qantas, and is served by all the major Pacific carriers, and many domestic airlines. To get from the airport to the city, you can take a taxi from the queue outside arrivals halls, an approximately twenty-five-minute ride for about A$50/US$34. Tips are appreciated but not expected. There are also various shuttle options, which can be arranged at Redy2Go desks in the terminals.

Sydney’s Airport Link train departs every 10 minutes, and is part of the city’s multi-line metro and train network. Purchase an Opal card on the platform or in selected newsstands in the airport terminal. The one-way fare is about $A20/US$13.50 for adults and $A16 / US$11.50 for children (www.airportlink.com.au).",27,Australia,2025-12-22,World Travel Book
